PRODUCT NAME,SLUG,variant1_name,variant1_options,variant2_name,variant2_options,variant3_name,variant3_options,variant4_name,variant4_options
Silver Grey Granite Flame,silver-grey-granite-flame,Thickness,30 | 40 | 50 | 60 | 75 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Loose
Silver Grey Granite Shotblast,silver-grey-granite-shotblast,Thickness,30 | 40 | 50 | 60 | 75 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Loose
Silver Grey Granite Leather,silver-grey-granite-leather,Thickness,30 | 40 | 50 | 60 | 75 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Loose
South Black Granite Machine Cut + Flame,south-black-granite-machine-cut-flame,Thickness,40–60 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Jumbo bag
South Black Granite Rockface Natural,south-black-granite-rockface-natural,Thickness,40–60 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Jumbo bag
South Grey Granite Machine Cut + Flame,south-grey-granite-machine-cut-flame,Thickness,40–60 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Jumbo bag
South Grey Granite Rockface Natural,south-grey-granite-rockface-natural,Thickness,40–60 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Jumbo bag
Red Crystal Granite Machine Cut + Flame,red-crystal-granite-machine-cut-flame,Thickness,40–60 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Jumbo bag
Red Crystal Granite Rockface Natural,red-crystal-granite-rockface-natural,Thickness,40–60 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Jumbo bag
Yellow Crystal Granite Machine Cut + Flame,yellow-crystal-granite-machine-cut-flame,Thickness,40–60 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Jumbo bag
Yellow Crystal Granite Rockface Natural,yellow-crystal-granite-rockface-natural,Thickness,40–60 MM,Size,100 × 100 MM,Edges,Hand split edges | Machine-cut edges (on request),Packaging,Jumbo bag
Castle Grey,castle-grey,Thickness,22 MM calibrated,Size,900×600 (16) · 600×600 (16) · 600×290 (16) · 290×290 (12) — 60-piece pack,Edges,Machine-cut edges,Packaging,Loose | Crate pack
Sandy Brown,sandy-brown,Thickness,22 MM calibrated,Size,900×600 (16) · 600×600 (16) · 600×290 (16) · 290×290 (12) — 60-piece pack,Edges,Machine-cut edges,Packaging,Loose | Crate pack
Sahara Sands,sahara-sands,Thickness,22 MM calibrated,Size,900×600 (16) · 600×600 (16) · 600×290 (16) · 290×290 (12) — 60-piece pack,Edges,Machine-cut edges,Packaging,Loose | Crate pack
Misty Green,misty-green,Thickness,22 MM calibrated,Size,900×600 (16) · 600×600 (16) · 600×290 (16) · 290×290 (12) — 60-piece pack,Edges,Machine-cut edges,Packaging,Loose | Crate pack
White Purple Hues,white-purple-hues,Thickness,22 MM calibrated,Size,900×600 (16) · 600×600 (16) · 600×290 (16) · 290×290 (12) — 60-piece pack,Edges,Machine-cut edges,Packaging,Loose | Crate pack
Burgundy Bliss,burgundy-bliss,Thickness,22 MM calibrated,Size,900×600 (16) · 600×600 (16) · 600×290 (16) · 290×290 (12) — 60-piece pack,Edges,Machine-cut edges,Packaging,Loose | Crate pack
Mint Frost,mint-frost,Thickness,20 MM calibrated,Size,1'×1' | 2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,Loose
Sahara Beige,sahara-beige,Thickness,20 MM calibrated,Size,1'×1' | 2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,Loose
Fossil Mint,fossil-mint,Thickness,20 MM calibrated,Size,2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,Loose
Imperial Blue Sada Polish,imperial-blue-sada-polish,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Natural,imperial-blue-natural,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Mirror,imperial-blue-mirror,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Riverwash,imperial-blue-riverwash,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Shot Brush,imperial-blue-shot-brush,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Satin,imperial-blue-satin,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Linear Grid,imperial-blue-linear-grid,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Cotton,imperial-blue-cotton,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue 3D CNC,imperial-blue-3d-cnc,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue 2D CNC,imperial-blue-2d-cnc,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Exclusive Wave,imperial-blue-exclusive-wave,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Imperial Blue Hand Texture,imperial-blue-hand-texture,Thickness,20 MM calibrated,Size,"22""×22"" | 46""×22"" | 2'×2' | 4'×2' | 3'×3' | 4'×4'",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Midnight Black Natural,midnight-black-natural,Thickness,18–25 MM | 20–30 MM | 22 MM | 25 MM | 35–40 MM,Size,2'×2' | 3'×2' | 4'×2' | 1'×1',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Loose
Midnight Black Leather,midnight-black-leather,Thickness,18–25 MM | 20–30 MM | 22 MM | 25 MM | 35–40 MM,Size,2'×2' | 3'×2' | 4'×2' | 1'×1',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Loose
Midnight Black Shotblast,midnight-black-shotblast,Thickness,18–25 MM | 20–30 MM | 22 MM | 25 MM | 35–40 MM,Size,2'×2' | 3'×2' | 4'×2' | 1'×1',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Loose
Diamond Dust,diamond-dust,Thickness,22 MM,Size,2'×2',Edges,Machine-cut edges,Packaging,Machine cut
Rustic Blossom,rustic-blossom,Thickness,22 MM,Size,2'×2',Edges,Machine-cut edges,Packaging,Machine cut
Basalt Lava Petal,basalt-lava-petal,Thickness,22 MM,Size,2'×2',Edges,Machine-cut edges,Packaging,Machine cut
Castle Grey Honed,castle-grey-honed,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Castle Grey Satin,castle-grey-satin,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Castle Grey Polish,castle-grey-polish,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Castle Grey Antique,castle-grey-antique,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sandy Brown Honed,sandy-brown-honed,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sandy Brown Satin,sandy-brown-satin,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sandy Brown Polish,sandy-brown-polish,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sandy Brown Antique,sandy-brown-antique,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sahara Sands Honed,sahara-sands-honed,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sahara Sands Satin,sahara-sands-satin,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sahara Sands Polish,sahara-sands-polish,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sahara Sands Antique,sahara-sands-antique,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Burgundy Bliss Honed,burgundy-bliss-honed,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Burgundy Bliss Satin,burgundy-bliss-satin,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Burgundy Bliss Polish,burgundy-bliss-polish,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Burgundy Bliss Antique,burgundy-bliss-antique,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Misty Green Honed,misty-green-honed,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Misty Green Satin,misty-green-satin,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Misty Green Polish,misty-green-polish,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Misty Green Antique,misty-green-antique,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sahara Beige Honed,sahara-beige-honed,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sahara Beige Satin,sahara-beige-satin,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sahara Beige Polish,sahara-beige-polish,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Sahara Beige Antique,sahara-beige-antique,Thickness,20 MM calibrated,Size,Slab — Length 7'–10' · Width 2'–3',Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,"Loose, pre-sealed at works"
Amber Gold Polish,amber-gold-polish,Thickness,20 MM calibrated,Size,"46""×22"" | 22""×22""",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Amber Gold Riverwash,amber-gold-riverwash,Thickness,20 MM calibrated,Size,"46""×22"" | 22""×22""",Edges,Machine-cut edges | Pillowed edges (on request) | Tumbled edges (on request),Packaging,Machine cut / box pack
Burgundy Bliss × Arctic White Matt,burgundy-bliss-arctic-white-matt,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Burgundy Bliss × Arctic White Polish,burgundy-bliss-arctic-white-polish,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Golden Aura × Arctic White Matt,golden-aura-arctic-white-matt,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Golden Aura × Arctic White Polish,golden-aura-arctic-white-polish,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Arctic White × Midnight Black Matt,arctic-white-midnight-black-matt,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Arctic White × Midnight Black Polish,arctic-white-midnight-black-polish,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Arctic White × Midnight Black Riverwash,arctic-white-midnight-black-riverwash,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Imperial Blue × Golden Aura Matt,imperial-blue-golden-aura-matt,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Imperial Blue × Golden Aura Polish,imperial-blue-golden-aura-polish,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Imperial Blue × Golden Aura Riverwash,imperial-blue-golden-aura-riverwash,Thickness,20 mm calibrated,Size,Custom to drawing,Edges,Machine-cut edges,Packaging,"Box-packed, panel-numbered to layout"
Mint Frost Natural,mint-frost-natural,Thickness,20 mm calibrated,Size,1'×1' | 2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,"Loose, corner-protected"
Mint Frost Leather,mint-frost-leather,Thickness,20 mm calibrated,Size,1'×1' | 2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,"Loose, corner-protected"
Fossil Mint Natural,fossil-mint-natural,Thickness,20 mm calibrated,Size,2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,"Loose, corner-protected"
Fossil Mint Leather,fossil-mint-leather,Thickness,20 mm calibrated,Size,2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,"Loose, corner-protected"
Sahara Beige Natural,sahara-beige-natural,Thickness,20 mm calibrated,Size,1'×1' | 2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,"Loose, corner-protected"
Sahara Beige Leather,sahara-beige-leather,Thickness,20 mm calibrated,Size,1'×1' | 2'×1' | 2'×2' | 3'×2',Edges,Machine-cut edges,Packaging,"Loose, corner-protected"
Sukabumi Pool Stone,sukabumi-pool-stone,Thickness,10 mm,Size,100 × 100 mm,Edges,Machine-cut edges,Packaging,Box-packed pool tiles
Sterling Mist - Pool & Wall Tile Polish,sterling-mist-pool-wall-tile-polish,Thickness,10 mm,Size,100 × 100 mm,Edges,Machine-cut edges,Packaging,Box-packed
Sterling Mist - Pool & Wall Tile Leather,sterling-mist-pool-wall-tile-leather,Thickness,10 mm,Size,100 × 100 mm,Edges,Machine-cut edges,Packaging,Box-packed
Raw Black,raw-black,Thickness,30-40 mm,Size,"Random 4"" - 18""",Edges,Hand-cut edges,Packaging,Crated random flags
Imperial Blue,imperial-blue,Thickness,30-40 mm,Size,"Random 4"" - 18""",Edges,Hand-cut edges,Packaging,Crated random flags
Rustic Beige,rustic-beige,Thickness,30-40 mm,Size,"Random 4"" - 18""",Edges,Hand-cut edges,Packaging,Crated random flags
Castle Grey,castle-grey,Thickness,30-40 mm,Size,"Random 4"" - 18""",Edges,Hand-cut edges,Packaging,Crated random flags
Sandy Brown,sandy-brown,Thickness,30-40 mm,Size,"Random 4"" - 18""",Edges,Hand-cut edges,Packaging,Crated random flags
Cosmic Black,cosmic-black,Thickness,30-40 mm,Size,"Random 4"" - 18""",Edges,Hand-cut edges,Packaging,Crated random flags
Burgundy Bliss,burgundy-bliss,Thickness,30-40 mm,Size,"Random 4"" - 18""",Edges,Hand-cut edges,Packaging,Crated random flags
Lava Black,lava-black,Thickness,30-40 mm,Size,"Random 4"" - 18""",Edges,Hand-cut edges,Packaging,Crated random flags
Rosy White Boulder,rosy-white-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
Arctic White Boulder,arctic-white-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
Northern Gold Boulder,northern-gold-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
Fantasy Black Boulder,fantasy-black-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
CrystalGlow Boulder,crystalglow-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
Midnight Slate Boulder,midnight-slate-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
Sandy Brown Boulder,sandy-brown-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
IvoryDune Boulder,ivorydune-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
Rustic Brown Boulder,rustic-brown-boulder,Thickness,Not applicable,Size,Height 1 - 6 ft (each unique) × Varies by piece,Edges,Not applicable - natural boulder,Packaging,Individually strapped & padded
Ebony River Pebbles,ebony-river-pebbles,Thickness,Not applicable,Size,25 - 50 mm graded,Edges,Not applicable - loose pebble,Packaging,Jumbo bags / 25 kg bags
Snow White Pebbles,snow-white-pebbles,Thickness,Not applicable,Size,25 - 50 mm graded,Edges,Not applicable - loose pebble,Packaging,Jumbo bags / 25 kg bags
Rainbow Pebbles,rainbow-pebbles,Thickness,Not applicable,Size,25 - 50 mm graded,Edges,Not applicable - loose pebble,Packaging,Jumbo bags / 25 kg bags
Teakwood Pebbles,teakwood-pebbles,Thickness,Not applicable,Size,25 - 50 mm graded,Edges,Not applicable - loose pebble,Packaging,Jumbo bags / 25 kg bags
Crystal Grey Pebbles,crystal-grey-pebbles,Thickness,Not applicable,Size,25 - 50 mm graded,Edges,Not applicable - loose pebble,Packaging,Jumbo bags / 25 kg bags
Rainforest Green Pebbles,rainforest-green-pebbles,Thickness,Not applicable,Size,25 - 50 mm graded,Edges,Not applicable - loose pebble,Packaging,Jumbo bags / 25 kg bags
Natural Black Gravel,natural-black-gravel,Thickness,Not applicable,Size,5 - 10 mm graded,Edges,Not applicable - loose gravel,Packaging,Jumbo bags / loose by tonne
Arctic White Gravel,arctic-white-gravel,Thickness,Not applicable,Size,5 - 10 mm graded,Edges,Not applicable - loose gravel,Packaging,Jumbo bags / loose by tonne
Cherry Red Gravel,cherry-red-gravel,Thickness,Not applicable,Size,5 - 10 mm graded,Edges,Not applicable - loose gravel,Packaging,Jumbo bags / loose by tonne
Crystal Yellow Gravel,crystal-yellow-gravel,Thickness,Not applicable,Size,5 - 10 mm graded,Edges,Not applicable - loose gravel,Packaging,Jumbo bags / loose by tonne
Sandy Brown,sandy-brown,Thickness,40 mm,Size,"4 ft | 5 ft × 12"" | 14"" | 16""",Edges,Machine-cut edges | Bullnose (on request),Packaging,"Palletised, edge-protected"
Castle Grey,castle-grey,Thickness,40 mm,Size,"4 ft | 5 ft × 12"" | 14"" | 16""",Edges,Machine-cut edges | Bullnose (on request),Packaging,"Palletised, edge-protected"
Burgundy Bliss,burgundy-bliss,Thickness,40 mm,Size,"4 ft | 5 ft × 12"" | 14"" | 16""",Edges,Machine-cut edges | Bullnose (on request),Packaging,"Palletised, edge-protected"
Lava Black,lava-black,Thickness,40 mm,Size,"4 ft | 5 ft × 12"" | 14"" | 16""",Edges,Machine-cut edges | Bullnose (on request),Packaging,"Palletised, edge-protected"
Stone Glow Bollard,stone-glow-bollard,Thickness,Not applicable,Size,25 - 30 cm,Edges,Machine-finished,Packaging,Individually boxed carved units
Jaali Screen,jaali-screen,Thickness,20-40 mm,Size,60-120 cm (to drawing),Edges,Machine-cut edges,Packaging,"Carved panels, numbered & crated"
Feature Wall,feature-wall,Thickness,20-40 mm,Size,Per design,Edges,Machine-cut edges,Packaging,"Carved panels, numbered & crated"
Stone Flutes,stone-flutes,Thickness,20-30 mm,Size,60-120 cm × 10-15 cm,Edges,Machine-cut edges,Packaging,"Panels, crated"
3D Sculpted Panels,3d-sculpted-panels,Thickness,20-40 mm profile,Size,60 cm × 15-60 cm,Edges,Machine-cut edges,Packaging,"Panels, crated"
Stone Veneer Sheets,stone-veneer-sheets,Thickness,2-3 mm,Size,122 cm × 61 cm,Edges,Trimmed to size,Packaging,"Flexible sheets, boxed"
Pool Coping - Bullnose & Drop Face,pool-coping-bullnose-drop-face,Thickness,30-50 mm,Size,60-120 cm (to drawing) × 30-40 cm,Edges,Machine-cut edges | Bullnose (on request),Packaging,"Cut-to-size units, crated"
Stone Bench - Monolith Series,stone-bench-monolith-series,Thickness,Not applicable,Size,120-180 cm × 40-45 cm,Edges,Machine-cut edges | Bullnose (on request),Packaging,"Monolithic / 3-piece sets, crated"
Stone Seating Set,stone-seating-set,Thickness,Not applicable,Size,Table 90-120 cm dia × Seats 40-45 cm,Edges,Machine-cut edges | Bullnose (on request),Packaging,"Set of units, crated"
Stone Planter - Carved,stone-planter-carved,Thickness,Not applicable,Size,40-90 cm,Edges,Machine-cut edges | Bullnose (on request),Packaging,"Individually carved, crated"
Stone Fountain - Sculptural,stone-fountain-sculptural,Thickness,Not applicable,Size,60-180 cm (varies),Edges,Machine-cut edges | Bullnose (on request),Packaging,"Component units, crated"
Stepping Stones - Organic,stepping-stones-organic,Thickness,30-50 mm,Size,40-60 cm × 30-45 cm,Edges,Machine-cut edges | Bullnose (on request),Packaging,Palletised steppers
